"symbol","companyName","calculationPrice","open","openTime","close","closeTime","high","low","latestPrice","latestSource","latestTime","latestUpdate","latestVolume","iexRealtimePrice","iexRealtimeSize","iexLastUpdated","delayedPrice","delayedPriceTime","extendedPrice","extendedChange","extendedChangePercent","extendedPriceTime","previousClose","change","changePercent","iexMarketPercent","iexVolume","avgTotalVolume","iexBidPrice","iexBidSize","iexAskPrice","iexAskSize","marketCap","week52High","week52Low","ytdChange","primaryExchange","openSource","closeSource","highTime","highSource","lowTime","lowSource","oddLotDelayedPrice","oddLotDelayedPriceTime","previousVolume","volume","iexOpen","iexOpenTime","iexClose","iexCloseTime","peRatio","lastTradeTime","sector","esg"
"K","Kellogg Co.","close",62.2,1590586200853,64.61,1590609601846,64.61,61.95,64.61,"Close","May 27, 2020",1590609601846,2396581,64.6,100,1590609593400,64.27,1590621003087,64.27,-0.34,-0.00526,1590621003087,62.12,2.49,0.04008,0.027735124760076776,66181,2093709,0,0,0,0,22139908700,71.05,51.34,-0.025320000000000002,"New York Stock Exchange","official","official",1590621003087,"15 minute delayed price",1590586266079,"15 minute delayed price",64.61,1590609600811,1980170,0,,,64.6,1590609593400,21.51,1590609599977,"Consumer Non-Durables",26
"IMB-LN","Imperial Brands Plc","close",,,,,17.35,12.76,15.19,"Close","May 27, 2020",1590609600000,0,,,,,,,,,,15.07,0.12,0.00796,,,1900576,,,,,0,22.56,12.58,-0.18744,"London Stock Exchange","official","official",1588190400000,"Close",1584993600000,"Close",,,1729218,0,,,,,,,"Consumer Non-Durables",28
"ULVR-LN","Unilever Plc","close",,,,,44.82,37.26,42,"Close","May 27, 2020",1590609600000,0,,,,,,,,,,41.22,0.78,0.01892,,,2190799,,,,,0,53.33,35.84,-0.015379999999999998,"London Stock Exchange","official","official",1583442000000,"Close",1584388800000,"Close",,,2110317,0,,,,,,,"Consumer Non-Durables",23
"NKE","NIKE, Inc.","close",98,1590586201289,99.87,1590609601858,99.99,97.62,99.87,"Close","May 27, 2020",1590609601858,7906988,99.85,71,1590609595840,100.54,1590654674890,100.24,0.37,0.0037,1590660924447,96.62,3.25,0.03364,0.022438759234236855,177423,6821456,0,0,0,0,155299847400,105.62,60,0.018940000000000005,"New York Stock Exchange","official","official",1590623951139,"15 minute delayed price",1590587728897,"15 minute delayed price",99.86,1590609597989,7185192,0,,,99.85,1590609595840,36.14,1590609598016,"Consumer Non-Durables",17
"HSY","The Hershey Co.","close",128.34,1590586200821,133.05,1590609601797,133.26,127.04,133.05,"Close","May 27, 2020",1590609601797,1443851,133.06,100,1590609589035,133.05,1590618600002,133.05,0,0,1590617209609,128.27,4.78,0.03727,0.04701734944765731,67886,1340944,0,0,0,0,27675700830,162.2,109.88,-0.05903,"New York Stock Exchange","official","official",1590618600002,"15 minute delayed price",1590586429178,"15 minute delayed price",133.03,1590609595404,1719569,0,,,133.06,1590609589035,24.96,1590609601792,"Consumer Non-Durables",26
"HLF","Herbalife Nutrition Ltd.","close",42.72,1590586200711,44.72,1590609601823,44.72,42.49,44.72,"Close","May 27, 2020",1590609601823,4757834,44.49,100,1590609598952,44.5,1590619112845,44.49,-0.23,-0.00514,1590619112845,42.5,2.22,0.05224,0.01397572366051686,66397,1950556,0,0,0,0,6608766320,48.82,20.73,-0.014959999999999994,"New York Stock Exchange","official","official",1590619112845,"15 minute delayed price",1590591014049,"15 minute delayed price",44.46,1590609600161,4760382,0,,,44.49,1590609598952,23.62,1590609601819,"Distribution Services",32
"APH","Amphenol Corp.","close",95,1590586200649,95.53,1590609601916,96.03,94.3,95.53,"Close","May 27, 2020",1590609601916,1660355,95.505,100,1590609591024,95.53,1590618600001,95.53,0,0,1590614502185,93.99,1.54,0.01638,0.03166817306700899,52521,1701647,0,0,0,0,28266753820,110.24,63.05,-0.10232,"New York Stock Exchange","official","official",1590618600001,"15 minute delayed price",1590591003382,"15 minute delayed price",95.54,1590609598641,2055209,0,,,95.505,1590609591024,25.13,1590609599965,"Electronic Technology",24
"DELL","Dell Technologies, Inc.","close",45,1590586200749,45.57,1590609601897,45.57,43.68,45.57,"Close","May 27, 2020",1590609601897,2868571,45.535,100,1590609599398,45.6,1590623944034,45.6,0.03,0.00066,1590623944034,44.46,1.11,0.02497,0.05062247186301427,144921,2064054,0,0,0,0,33697832003,67.87,25.51,-0.09973000000000001,"New York Stock Exchange","official","official",1590623944034,"15 minute delayed price",1590590986152,"15 minute delayed price",45.51,1590609600147,1942172,0,,,45.535,1590609599398,7.12,1590609601888,"Electronic Technology",17
"HPE","Hewlett-Packard Enterprise Co.","close",9.55,1590586200776,9.76,1590609601828,9.76,9.47,9.76,"Close","May 27, 2020",1590609601828,14601647,9.76,21,1590609597007,9.75,1590623865601,9.75,-0.01,-0.00102,1590623865601,9.42,0.34,0.03609,0.01723381716592681,251157,10081463,0,0,0,0,12512320000,17.59,7.43,-0.35391,"New York Stock Exchange","official","official",1590623865601,"15 minute delayed price",1590586284654,"15 minute delayed price",9.75,1590609600864,22433155,0,,,9.76,1590609597007,-294.86,1590609599923,"Electronic Technology",17
"WDC","Western Digital Corp.","close",45.5,1590586200368,46.01,1590609600213,46.31,43.16,46.01,"Close","May 27, 2020",1590609600213,8902094,46,100,1590609594610,45.99,1590623718595,45.99,-0.02,-0.00043,1590623718595,45.07,0.94,0.02086,0.023352626421824233,206654,6452219,0,0,0,0,13789243010,72,27.4,-0.26244,"NASDAQ","official","official",1590623718595,"15 minute delayed price",1590590986034,"15 minute delayed price",46.04,1590609598004,5612611,0,,,46,1590609594610,-22.87,1590609600050,"Electronic Technology",18
