symbol,companyName,open,close,high,low,latestPrice,latestVolume,previousClose,change,changePercent,avgTotalVolume,marketCap,week52High,week52Low,ytdChange,primaryExchange,previousVolume,volume,peRatio,sector,esg_category
SVT,"Servotronics, Inc.",8.12,8,8.39,7.995,8,2420,7.95,0.05,0.00629,4309,19816000,11.33,5.4,-0.22811,NYSE American,1715,0,4.8,Producer Manufacturing,3
SDPI,"Superior Drilling Products, Inc.",0.86,0.85,0.8591,0.83,0.85,36725,0.86,-0.01,-0.01163,265418,21619580,1.21,0.2005,0.00547,NYSE American,24713,0,-42.93,Industrial Services,2
KLR+,"Kaleyra, Inc.",,,0.99,0.99,0.99,0,,,,,21973347,0,0,0,NYSE American,,0,,Communications,2
NBY,"NovaBay Pharmaceuticals, Inc.",0.91,0.89,0.91,0.8594,0.89,1316037,0.89,0,0,4699111,25641434,4.04,0.24,0.3906,NYSE American,1356793,0,-2.69,Health Technology,2
AGE,"AgeX Therapeutics, Inc.",0.8,0.76,0.8,0.75,0.76,67694,0.7856,-0.0256,-0.03259,72365,28618560,4,0.666,-0.62619,NYSE American,90842,0,-2.34,Health Technology,2
BKTI,BK Technologies Corp.,2.94,3.06,3.19,2.909,3.06,89656,2.87,0.19,0.0662,22135,38229804,4.41,1.17,0.0285,NYSE American,19017,0,-15.37,Electronic Technology,2
UAVS,"AgEagle Aerial Systems, Inc.",1.25,1.25,1.25,1.16,1.25,3881274,1.27,-0.02,-0.01575,20753878,41632125,5.15,0.1901,1.76205,NYSE American,3428368,0,-8.07,Electronic Technology,2
AAU,Almaden Minerals Ltd.,0.43,0.49,0.49,0.425,0.49,294707,0.4347,0.0553,0.12721,389990,57445640,0.82,0.2121,-0.05369,NYSE American,367033,0,-19.37,Non-Energy Minerals,2
TMCXW,Trinity Merger Corp.,,,,,1.82,0,,,,,78487500,1.82,0.26,0,NYSE American,,0,,Finance,3
BRBS,"Blue Ridge Bankshares, Inc. (Virginia)",14.78,14.78,14.99,14.78,14.78,114,14.78,0,0,2271,83669580,23,14.55,-0.2945,NYSE American,885,0,16.36,Finance,1
REI,"Ring Energy, Inc.",1.25,1.25,1.27,1.18,1.25,1114926,1.18,0.07,0.05932,1396409,84971375,3.96,0.5182,-0.47078,NYSE American,1461267,0,1.19,Energy Minerals,3
